"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"go-F9yId6E1pYOTLBPtAAAAAA==","google","https://www.clearancejobs.com/jobs/8243328/technical-analyst-entry-level?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Technical Analyst - Entry Level Jobs","CGI","Lebanon, VA","2025-03-28","","description","yearly",50000.0,82600.0,"USD",False,"","","","US_Employment_Compliance@cgi.com","Position Description:

Launch a world-class career.
Are you fascinated by information technology and its role in innovative business solutions? Are you a collaborative problem solver who wants to build a dynamic career making an impact for some of the most influential companies in the world? If so, we think CGI is just the place for you.

As a Technical Analyst on our team, youll work in a highly collaborative environment to provide expertise in designing, developing, and executing solutions to improve the quality of IT products and services for our clients. At CGI, you can explore your full potential not confined by borders or pre-defined paths. Youre empowered to tackle problems in your own unique way which is not only valued and respected but encouraged.

Were a close-knit team that has access to global resources. Youll have the opportunity to explore a wide range of tools, technologies, and cutting edge solutions, all while enjoying the personal touch that our local operating approach offers.

This position is located in Lebanon, VA in a hybrid working model.
• *Spring Application Period is from January 13 through April 4**

How youll make an impact
Test and implement new technologies and applications
Provide user support in a helpdesk environment
Assist technical architects with infrastructure requirement development
Perform project code review
Install and configure software packages
Investigate and debug software errors, troubleshoot application issues
Develop and build code applications or modules with various programming languages
Write technical documents

What youll bring
Bachelors degree in a relevant field that focuses on Information Technology or Information Systems with exposure to computer-based technical content
Solid grasp of configuration management and the systems development lifecycle
Working knowledge of script development
SQL, Java and C++ programming experience is preferred
A phenomenal attitude and hunger for learning
Excellent analytical, written, and oral communication skills
Ability to work within a collaborative environment
Ability to work in the U.S. permanently

Benefits
CGI Federal's benefits are offered to eligible professionals on their first day of employment to include:
Competitive compensation
Comprehensive insurance options
Matching contributions through the 401(k) plan and the share purchase plan
Paid time off for vacation, holidays, and sick time
Paid parental leave
Learning opportunities and tuition assistance
Wellness and Well-being programs

The best version of you starts here
Were a global company of owners. Over 90,000 CGI Partners strong, we bring our diverse backgrounds and perspectives together to solve some of IT and business consultings toughest problems for some of the worlds best companies. Looking for a place that empowers you to explore your full potential and shape your own career? The scale and reach of our impact offer you just that. Join a team of great people, collaborate on meaningful work, and serve the communities you call home while you do it.

#CGIEarlyCareers

CGI is required by law in some jurisdictions to include a reasonable estimate of the compensation range for this role. The determination of this range includes various factors not limited to skill set level, experience and training, and licensure and certifications. To support the ability to reward for merit-based performance, CGI typically does not hire individuals at or near the top of the range for their role. Compensation decisions are dependent on the facts and circumstances of each case. A reasonable estimate of the current range is $50,000 - $82,600.

What you can expect from us:

Together, as owners, lets turn meaningful insights into action.

Life at CGI is rooted in ownership, teamwork, respect and belonging. Here, youll reach your full potential because

You are invited to be an owner from day 1 as we work together to bring our Dream to life. Thats why we call ourselves CGI Partners rather than employees. We benefit from our collective success and actively shape our companys strategy and direction.

Your work creates value. Youll develop innovative solutions and build relationships with teammates and clients while accessing global capabilities to scale your ideas, embrace new opportunities, and benefit from expansive industry and technology expertise.

Youll shape your career by joining a company built to grow and last. Youll be supported by leaders who care about your health and well-being and provide you with opportunities to deepen your skills and broaden your horizons.

Come join our teamone of the largest IT and business consulting services firms in the world.

Qualified applicants will receive consideration for employment without regard to their race, ethnicity, ancestry, color, sex, religion, creed, age, national origin, citizenship status, disability, pregnancy, medical condition, military and veteran status, marital status, sexual orientation or perceived sexual orientation, gender, gender identity, and gender expression, familial status or responsibilities, reproductive health decisions, political affiliation, genetic information, height, weight, or any other legally protected status or characteristics to the extent required by applicable federal, state, and/or local laws where we do business.

CGI provides reasonable accommodations to qualified individuals with disabilities. If you need an accommodation to apply for a job in the U.S., please email the CGI U.S. Employment Compliance mailbox at US_Employment_Compliance@cgi.com . You will need to reference the Position ID of the position in which you are interested. Your message will be routed to the appropriate recruiter who will assist you. Please note, this email address is only to be used for those individuals who need an accommodation to apply for a job. Emails for any other reason or those that do not include a Position ID will not be returned.

We make it easy to translate military experience and skills! Click here to be directed to our site that is dedicated to veterans and transitioning service members.

All CGI offers of employment in the U.S. are contingent upon the ability to successfully complete a background investigation. Background investigation components can vary dependent upon specific assignment and/or level of US government security clearance held. Dependent upon role and/or federal government security clearance requirements, and in accordance with applicable laws, some background investigations may include a credit check. CGI will consider for employment qualified applicants with arrests and conviction records in accordance with all local regulations and ordinances.

CGI will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with CGIs legal duty to furnish information.","","","","","","","","","","","","","",""
"go-V08D95NiYdtwASH1AAAAAA==","google","https://penske.jobs/lancaster-pa/diesel-technicianmechanic-iii-entry-level/6C0A46DDEB464E87A9DCB29A7557E782/job/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Diesel Technician/Mechanic III - Entry Level","Penske","Lancaster, PA","2025-03-28","","","","","","",False,"","","","","1930 Lasalle Avenue

Lancaster PA 17601

United States

What’s the Job?

Ready to accelerate your career while helping our customers move forward? As a Technician at Penske, you’ll do exactly that. Here, you’ll do preventative maintenance and minor repairs on the newest and best maintained fleet of vehicles in the industry. You will help our customers keep their vehicles in shape and on the road.

Whether you’re looking for your first job out of school or have some vehicle repair experience and are looking to switch gears, becoming a Penske Technician may be a great fit for you.

Why is this job awesome? For starters, no day is the same. You’ll get to work on lots of different types of equipment—not just one manufacturer. We work hard to get the job done, but we also make sure you have the time you need to do the job right. Safety and reliability are our top priorities.

Working alongside experienced supervisors and master technicians, we’ll teach you about our vehicle maintenance processes and the cutting-edge technology we use. And we will make sure you are getting the industry certified training you need to succeed and grow your career. You’ll learn from the best in the industry. We also take pride in how clean our facilities are, and we provide you with all the necessary major shop tools.

If you are mechanically inclined or have completed any vehicle repair training, are willing to learn, and interested in a stable career with a lot of opportunity for growth, join our team.

Main Responsibilities:

• Making sure vehicles are maintained and safe for our customers

• Using Penske’s tools and technologies to log, research and complete repairs, including basic vehicle diagnostics

• Doing preventative maintenance repairs—like replacing or rotating tires—and completing vehicle component lubrication and replacement, some electrical system repairs, and cooling system maintenance on gas and diesel engine vehicles

• Partnering with your manager to learn new skills using Penske’s technician training and hands-on coaching

• Working on other projects and tasks as assigned by supervisor

Why Penske is for You:

• Competitive starting salary

• Shift Premiums 2nd shift ($2.50), 3rd shift ($3.50) Weekend ($2.50)

• Career stability

• Opportunity for growth

• Excellent benefits, including lots of time off

• Strong, well-rounded training on a variety of OEM equipment (Penske’s Technician Certification Program is certified as a Continuing Automotive Service Education provider)

• Advanced vehicle maintenance technology

• Location and schedule flexibility

Qualifications:

• High school diploma or equivalent preferred; vocational or technical certification in vehicle repair preferred

• Basic mechanical aptitude and 1-2 years of automotive or diesel repair experience (preferred)

• Valid driver’s license

• The ability to solve problems and comfort using tools

• Excellent customer service skills and communication skills

• The ability to work well as part of a team and outside

• Basic computer skills

• The associate will be required to understand and comply with specific instructions, guidelines, rules, regulations, or other information established by Penske management

• The associate must be able to perform all work adhering to DOT, OSHA, and all Penske safety and maintenance policies; including but not limited to the correct selection and use of appropriate tools, PPE, machine guarding, and established best safety practice.

• Regular, predictable, full attendance is an essential function of the job

• As this position requires driving Penske and customer vehicles, it is regulated by the DOT and requires a current driver qualification file to be maintained as required by the role. The driver qualification file includes: an annual motor vehicle records (MVR) check, a successfully completed DOT Physical, and Safety Performance History records request from prior employers in the last 3 years. Additionally, CDL holders will have a DOT Drug Screening within 30 days of start and subject to a FMCSA Clearinghouse review.

• Willingness to work the required schedule, work at the specific location required, complete Penske employment application, submit to a background screening (to include criminal checks, past employment and education), the ability to pass a drug screen and physical as required by the Department of Transportation, and potential travel within a near geography for training are required

This position is regulated by the Department of Transportation or designated as safety sensitive by the company, and the ability to work in a constant state of alertness and in a safe manner is required. Associates must have the ability to accept responsibility for their own safety, as well as the safety of others.

Physical Requirements: The physical and mental demands described here are representative of those that must be met by an associate to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

• While performing the duties of this job, the associate will be required to move frequently, stand, walk, climb, bend, and sit for extended length of time throughout their scheduled working period.

• The associate is required to use their hands on a routine and daily basis to grasp, reach, touch, handle, feel, and/or otherwise operate required tools or controls.

• The associate must be able to work safely at heights using applicable ladders and elevated working platforms.

• The associate must be able to safely work in all weather conditions.

• Given the frequent movement of large trucks through the workplace, the associate must be able to see and hear in order to safely navigate the work environment.

• The associate must be able to regularly lift and/or move up to 50lbs/23kg and occasionally lift and/or move up to 100lbs/45kg.

Penske is an Equal Opportunity Employer

Keywords:

Automotive, Diesel, Diesel Repair, Diesel Tech, Diesel Mechanic, Gas Mechanic, Mechanic, Hydraulics Auto Repair, Truck Repair, Trailer Repair, Equipment Installer, Electronic Diagnostic, Car Carrier Repair, Mechanical Repair, Installer, Truck Equipment, Auto Mechanic, ASE Certified, ASE, Automotive, Repair, Light And Heavy Duty Trucks, Truck Mechanic Service Technician, Heavy Truck & Equipment Technician, Heavy Truck Mechanic, Equipment Mechanic, Shop Mechanic, Truck Mechanic, Fleet Mechanic, Fleet Technician, Trailer Mechanic, Universal Technical Institute, UTI, Wyotech, Lincoln College of Technology, Lincoln Tech, University of Northwest Ohio, Detroit Diesel, Cummins, Eaton, Meritor, Mack, International, Peterbilt, Kenworth, Volvo, Freightliner, Hino, Isuzu, Apprentice

About Penske Truck Leasing/Transportation Solutions

Penske Truck Leasing/Transportation Solutions is a premier global transportation provider that delivers essential and innovative transportation, logistics and technology services to help companies and people move forward. With headquarters in Reading, PA, Penske and its associates are driven by a dedication to excellence and a commitment to customer success. Visit Go Penske to learn more.

Job Category: Vehicle Maintenance/Mechanics/Technicians

Job Function: Truck Maintenance

Job Family: Vehicle Maintenance

Address: 1930 Lasalle Avenue

Primary Location: US-PA-Lancaster

Employer: Penske Truck Leasing Co., L.P.

Req ID: 2501609","","","","","","","","","","","","","",""
"go-wC0ZSzMId5GW7wP_AAAAAA==","google","https://entryleveltechnology.com/careers/entry-level-computer-support-assistant-norwalk/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Entry-Level Computer Support Assistant","Entry Level Technology Jobs","Norwalk, CT","2025-03-27","","","","","","",False,"","","","","Our client is a well-known healthcare company with offices in Norwalk, looking to fill a Entry Level Computer Support Assistant position. A Computer Support Assistant will be supporting the Help Desk Support Specialists, who are the go-to people for providing technical assistance and support related to computer systems, hardware, and software. They are responsible for answering queries and addressing system and user issues in a timely and professional manner. Help desk support works with the IT team, and will often interact with system and computer users across the company. The help desk team will train users on basic system and computer functions.","","","","","","","","","","","","","",""
"go-nN2X_OHXoHocxuxwAAAAAA==","google","https://entryleveltechnology.com/careers/entry-level-it-helpdesk-support-specialist-nashua/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Entry-Level IT Helpdesk Support Specialist","Entry Level Technology Jobs","Nashua, NH","2025-03-27","","","","","","",False,"","","","","Do you enjoy working with computers? Are you looking for a job in the Nashua area? If you are interested in an IT position in Nashua, there is now an opening for Entry-Level Computer Support Assistants. Computer Support Assistants work as part of the Help Desk team, providing technical assistance and support related to computer systems, hardware, and software. As a Computer Support Assistant, you will answer users' questions, train users on basic system and computer functions, address system and user issues, and resolve issues in a timely and professional manner. Computer Support Assistants are an important part of the IT team; come see if you are a good fit for our team!","","","","","","","","","","","","","",""
"go-WfqC7edHjsFDPGeWAAAAAA==","google","https://www.indeed.com/viewjob?jk=4db696c6fcc04d49&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","TECHNICIANS - ENTRY LEVEL - CABLE/FIBER/SATELLITE","Installation Pro LLC","Shelbyville, TN","2025-03-27","contract","description","yearly",50000.0,80000.0,"USD",False,"","","","","We are specialized in providing Smart Home Technology services and Technicians to do Nest doorbells, , indoor/outdoor cameras, surround sound systems, satellite TV equipment, Wi-FI routers and TV mounts installation.

We will train technicians to offer personalized technology to customers, while teaching them how to use and get the most out of the products they’ve purchased, and connect home technology as we lead the Smart Home revolution

Qualifications:
• Strong customer service skills; friendly, approachable, communicative, knowledgeable, with a resilient work ethic and high degree of integrity
• High energy, resourcefulness, and ability to multi-task
• Ability to see opportunities to sell to every customer
• Need to achieve – Installers are driven and focused on exceeding customer expectations with every single job
• Sales, electrical, maintenance/repair, cable, military, Telco, In-Home security,
• Dish Network, DirecTV, Cable Installation and/or customer service, sales experience are a plus.
• Valid driver's license, with a driving record that meets minimum safety standard
• Self-manage inventory and invoicing
• Must pass drug and background check

Requirements:
• Technicians Need Excellent written and verbal communication skills.
• Intermediate computer skills; intermediate electronics and/or audio/video knowledge is helpful.
• Technicians provide their own basic tools, and reliable vehicle (White - Van/Truck)
• Ability to stand for long periods of time on a ladder, lift over 50 lbs at times, crawl into small spaces, work in all climates.
• Willingness to work flexible schedules including weekends, shared holidays and evenings.
• High school diploma or GED required; college or technical/vocational school a plus.
• Contractors will be working in the field directly with our customers.

Responsibilities:
• Inventory - maintain accurate inventory and equipment for installations
• Offer customers Smart home products while earning incentives
• Conduct site survey - determine the best positioning of equipment for strongest signal reception.
• Equipment installation - place mounts, satellite dishes, Doorbells, Thermostats,
• TV Mounts, Indoor/outdoor cameras and receivers while ensuring broadband connectivity.
• Customer education - review order with the customer and teach them the basics to use and their new service and equipment.

Pay:
• Pay Grades are updated every week based on performance (three pay scales)
• No two-week hold-back on completed jobs and commissions for additional products
• Sign on bonus pays after 60 completed jobs
• Tech referrals pay when the new tech completes 60 completed jobs.
• Paid Training

Job Types: Full-time, Contract, Commission

Salary: $50,000.00 to $80,000.00 /year

Job Types: Full-time, Part-time, Contract

Pay: $50,000.00 - $80,000.00 per year

Job Types: Full-time, Contract

Pay: $50,000.00 - $80,000.00 per year

Benefits:
• Flexible schedule

Compensation Package:
• Commission pay
• Signing bonus

Schedule:
• Day shift

Work Location: Multiple locations","","","","","","","","","","","","","",""
"go-l0fvlrpHpVJMyVzJAAAAAA==","google","https://www.linkedin.com/jobs/view/entry-level-it-specialist-at-system-soft-technologies-4187100516?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Entry Level IT Specialist","System Soft Technologies","Centennial, CO","2025-03-26","","","","","","",False,"","","","","Position Overview: We are seeking a reliable and motivated Technical Associate to join our team. The ideal candidate will play a crucial role in supporting operations through inventory management, order fulfillment, and maintaining a clean and organized environment. The role requires basic computer skills and the ability to use a car for on-site requirements as necessary.

Required Skills & Qualifications:
• Basic Computer Skills: Proficient in Microsoft Office Suite (Word, Excel) and experience with warehouse management software or inventory tracking systems.","","","","","","","","","","","","","",""
"go-OF5DJSDwryGnqeigAAAAAA==","google","https://www.pgcareers.com/us/en/job/R000110857/Research-Development-Associate-Researcher-HS-or-2-Year-Degree-Cincinnati?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Research & Development Associate Researcher (HS or 2 Year Degree) - Cincinnati","PGBPGNGLOBAL","West Chester Township, OH","2025-03-25","fulltime","description","yearly",54500.0,62700.0,"USD",False,"","","","","Job Location
Mason

Job Description

Your first step to an amazing career in Research and Development (R&D) at Procter and Gamble (P&G) starts with applying to this job.

Associate Researcher is an entry level role for individuals who are competent in basic science and math and are inspired to apply those skills towards hands-on experiments. At P&G, a wide variety of R&D work is available to Associate Researchers, in the following major areas:

Products Research

Deeply understand our consumers and their needs to inform product design parameters for new or improved products.

Product Formulation & Design

Translates consumer needs into finished products that delight consumers using the best available technologies/chemicals/materials.

Analytical

Use lab equipment to solve tough technical problems via chemical, physical, mechanical, imaging, and other measurement capabilities.

Packaging & Device Development

Creates and improves packages and devices that delight consumers and retailers.

Process Development & Pilot Plant Operations

Translates ideas, concepts, and technologies into commercially feasible chemical and mechanical processes and scales them up from lab to pilot plant to manufacturing.

So, when you apply, be sure to answer the questions to let us know which areas you have experience and which areas you are interested in.

Though the type of work may vary, all Associate Researcher roles will provide competitive wages as well as the opportunity for you to do meaningful work from Day 1. You will work on current and future products and should have the curiosity to think of improved approaches to everyday problems. Of course, we will provide you the training needed for you to make an impact on Day 1 and beyond, because when you start a job at P&G, it can also be the start of your P&G career filled with professional growth and new opportunities.

Job Qualifications

Education:

An Associate’s Degree in an Engineering or Science field (We prefer Engineering, Biology or Chemistry, although other similar majors will be considered) or a high school diploma with relevant experience.

If you're a really good fit, you'll have:
• Experience in a biology, chemistry, or social science lab
• ·Methods, Sample Testing, and Lab instrumentation
• Experience/Knowledge of Scientific Method
• Proficient in Office Software Apps (Outlook, Word, Excel, PowerPoint, etc.)
• Clear written and verbal skills to document experiment in lab notebook and discuss and observations
• Familiar with using basic lab equipment (Balance, Pipette, pH meter, volumetric flasks, mixers, etc.)
• Strong communication skills
• The ability to learn on the job in a dynamic environment

Just so you know:

Compensation for roles at P&G varies depending on a wide array of non-discriminatory factors including but not limited to the specific office location, role, degree/credentials, relevant skill set, and level of relevant experience. At P&G compensation decisions are dependent on the facts and circumstances of each case. Total Rewards at P&G include salary + bonus (if applicable) + benefits. Your recruiter may be able to share more about our total rewards offerings and the specific salary range for the relevant location(s) during the hiring process.

We are committed to providing equal opportunities in employment. We value diversity and do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

All will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, disability status, age, sexual orientation, gender identity and expression, marital status, citizenship, HIV/AIDS status or any other legally protected factor.

Immigration sponsorship is not available for this position, except in rare situations based on Procter & Gamble's sole discretion. Applicants for U.S. based positions are eligible to work in the U.S. without the need for current or future sponsorship. We do not sponsor for permanent residency. Any exceptions are based on the Company's specific business needs at the time and place of recruitment as well as the particular qualifications of the individual.

Procter & Gamble participates in e-verify as required by law.

Qualified individuals will not be disadvantaged based on being unemployed.

Job Schedule
Full time

Job Number
R000110857

Job Segmentation
Recent Grads/Entry Level - Campus (Job Segmentation)

Starting Pay / Salary Range
$54,500.00 - $62,700.00 / year","","","","","","","","","","","","","",""
"go-Qm3_svyHsVmFzkV0AAAAAA==","google","https://www.indeed.com/viewjob?jk=3d0b6c34ffc92530&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Entry-Level Accounting Specialist","Pacific Office Automation","Portland, OR","2025-03-25","","description","hourly",18.0,20.0,"USD",False,"","","","","Pacific Office Automation is the largest independently-owned document imaging and technology dealers in the nation. Since 1976, we have grown to over thirty branches located in ten western states: OR, WA, CA, AZ, NM, NV, UT, ID, CO, & TX. With over 40 years of success in office equipment and technology sales/service, our growth and reputation have afforded us great relationships with top manufacturers such as Canon, Sharp, Konica Minolta, HP, Ricoh, Lexmark, and many more.

At Pacific Office Automation, you will find an amazing technology company full of growth opportunities, great benefits, and passionate coworkers who aim to help you succeed. Among our company goals, we aim to be a long-term employer. That means providing employees with the training and certification they need to keep up with the fast-changing technology of our office machines, devices, and software. At POA, we believe that all voices can and should be heard, regardless of seniority or tenure.

Position

Our fast-paced, sales office is seeking an Entry-Level Accounting Specialist at our Beaverton, OR office. This is an entry level accounting position that may include different functions of accounting - primarily oversight of all accounts receivable and bank statements. If you are driven, ambitious, and looking for an environment where you can work hard, play hard, and constantly improve your skills, we want to hear from you!

Essential Job Duties
• Acutely detail-oriented data entry across multiple databases
• Heavy and frequent internal customer service
• Maintain spreadsheets for current cost analysis reviews
• Assist the Sales rep and major manager in any/all duties
• File, copy, and scan documents
• Scheduling equipment and software deliveries, moves, and pickups
• Escalating service call related issues on behalf of customers
• Auditing and creating invoices

Qualifications
• Strong math skills. If you’re a numbers person – this is a position that will allow you to excel
• Highly attentive to details and somewhat of a perfectionist
• Problem solving/research abilities
• A task-oriented individual who enjoys the idea of working independently
• Dependable, self-starter. At POA we don’t micromanage, so we need candidates who are motivated to self-start and dive into tasks at hand

Job Responsibilities:
• Payment to outside vendors
• Interaction with bankers and customers
• Post deposits to bank
• Process customer credit cards

Experience:
• Bachelor's degree or equal level of accounting experience preferred
• 0-3 years' experience in accounting or other relatable experience

Benefits
• Advancement and growth into leadership roles
• Team-player environment
• Medical/Dental/Vision/Life insurance plans
• Matched 401k
• PTO, Vacation, Sick Leave
• FSA/HSA Programs
• $18-20/hr DOE

Our Commitment to Diversity and Inclusion

Pacific Office Automation is proud to be an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, national origin, ancestry, gender, sexual orientation, gender expression or identity, age, religion, veteran status, or any other characteristic protected by law. We celebrate our employees’ differences because we know that diversity makes us stronger.

#LI-Onsite","","","","","","","","","","","","","",""
"go-92TOblAYDtUQIqsMAAAAAA==","google","https://www.pgcareers.com/de/en/job/R000114045/Field-Service-Technician-Entry-Level-Little-Rock-Fayetteville-AR?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Field Service Technician (Entry Level) - Little Rock / Fayetteville, AR","PGBPGNGLOBAL","Fayetteville, AR","2025-03-24","fulltime","","","","","",False,"","","","","Job Location
Little Rock

Job Description

(Internal Job Title - Sr. Field Service Technician)

P&G Professional is the commercial division of Procter & Gamble focused on improving the lives of our consumers away from home. We provide the hospitality, foodservice, and long-term care industries chemical programs and solutions that keep their facilities clean and safe.

The Senior Field Service Technician (FST) is a field based position working independently to install, troubleshoot, repair, and maintain our chemical dispensing equipment as well as other equipment used in commercial foodservice or laundry operations. The goal is to deliver exceptional service (not sales) in a way that delivers customer retention and superior customer service.

This is a full-time position with Procter & Gamble that includes a competitive healthcare plan and retirement benefits. P&G Professional is expanding rapidly across North America and this position offers the opportunity to join a great company that can offer significant career opportunities as we continue to grow.

Job Qualifications

The ideal candidate would have a great work ethic and a willingness to learn new skills with provided training. This candidate would have a basic understanding in electronics, plumbing, maintenance or mechanical systems with the ability to troubleshoot with root cause analysis. Moderate working knowledge of appropriate tools, data, implements and service needs. Proficient in laptop and cell phone technology to include but not limited to Salesforce, Microsoft Word and Excel.

Candidate must have a valid driver’s license and car insurance; and own a reliable motor vehicle with a minimum of 50 cubic feet of cargo space. Occasional overnight travel is required.

Essential Job Functions
• Work Schedule is a 5 day work week / 8 hours per day but may include 12-hour shifts, occasional weekends, and night shifts
• Lift, lower and carry objects up to 50 lbs.
• Push and pull objects up to 50 lbs.
• Climb a vertical ladder. Ability to go up and down
• Climb up and down stairs
• Stand, sit, and/or walk for long periods of time, twist, bend at the knees , stoop, kneel, squat, crawl, and reach for purposes of installing and maintaining equipment. Surface: Concrete, asphalt (uneven surfaces).
• Operate a computer keyboard to input and access data, and phone
• The ability to work in extreme temperatures both hot and cold, generally in warehouse conditions including wide variances in temperature, dust, and dirt
• The ability to give and discern the various visual and audible alarms and signals for equipment startup, evacuation, and fires
• Must have a valid driver’s license
• Candidate must be able to operate a motor vehicle, and spend approximately 30% of the day in the car traveling from accounts safely in city, rural and expressway conditions

Other Requirements
• Candidate must live in specified city
• On-call Coverage which may include occasional weekends, holidays, and night shifts

Compensation for roles at P&G varies depending on a wide array of non-discriminatory factors including but not limited to the specific office location, role, degree/credentials, relevant skill set, and level of relevant experience. At P&G compensation decisions are dependent on the facts and circumstances of each case. Total rewards at P&G include salary + bonus (if applicable) + benefits. Your recruiter may be able to share more about our total rewards offerings and the specific salary range for the relevant location(s) during the hiring process.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, disability status, age, sexual orientation, gender identity and expression, marital status, citizenship, HIV/AIDS status or any other legally protected factor.

Immigration Sponsorship is not available for this role. For more information regarding who is eligible for hire at P&G along with other work authorization

Procter & Gamble participates in e-verify as required by law.

Qualified individuals will not be disadvantaged based on being unemployed.

Job Schedule
Full time

Job Number
R000114045

Job Segmentation
Plant Technicians (Job Segmentation)

Starting Pay / Salary Range
$19.92 / hour","","","","","","","","","","","","","",""
"go-O1jWTCySFC_JS7WuAAAAAA==","google","https://www.ziprecruiter.com/c/Cook-Systems/Job/Entry-Level-Software-Developer/-in-Nashville,TN?jid=0cbf04d9be030b6e&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Entry Level Software Developer","Cook Systems","Nashville, TN","2025-03-24","contract","","","","","",False,"","","","","Launch Your Career with Cook Systems

Ready to elevate your career? Cook Systems, a certified veteran-owned IT consulting firm, has been transforming businesses and careers since 1990. Whether you're aiming to work with a Fortune 500 company or a small business, we've got you covered.

Our core values-integrity, investment, and innovation-drive everything we do, ensuring you grow and succeed in a dynamic, supportive environment. We understand the importance of work-life balance and personal growth. Our cutting-edge IT consulting partners and FastTrack talent program are designed to help you excel.

Join our forward-thinking team where excellence and creativity are valued every day. Check out what our associates have to say on Glassdoor. Ready to take your career to new heights? Cook Systems is where your journey to success begins!

Launch Your Career as a Software Developer with FastTrack

Cook Systems is seeking motivated individuals for FastTrack, which prepares participants for a career as a Software Developer. Selected candidates will engage with our instructional team for 8 weeks, preparing to interview for entry-level Developer roles with our Fortune 500 clients in Nashville, Memphis, Dallas/Ft. Worth, or Phoenix. Our next cohort begins on March 3, 2025.

FastTrack is a free, 8-week online opportunity focused on Java, Spring, JavaScript, and Angular. It includes career readiness training to help you succeed in interviews with our clients, providing you with a solid foundation in both technical and professional skills.

Take the next step in your career and apply to join FastTrack today!

Preferred Skills and Experience
• Basic understanding of Java
• Experience with Backend Java Programming
• Proficiency in Object-Oriented Programming
• Knowledge of Web Services and REST
• Familiarity with the Spring Framework
• Web development skills, including HTML5 and JavaScript libraries

What You Will Learn
• Core Backend Languages and Frameworks
• Advanced Backend Frameworks and Technologies
• Core Frontend Languages and Frameworks
• Advanced Frontend Frameworks and Technologies

Additional Details:
• Workplace Setting: Hybrid #LI-Hybrid
• Job Type: Contract
• Seniority Level: Entry Level
• Job Function: Information Technology

#LI-DNI

Please Note: The benefits listed below are available once candidates are hired and placed with a client through Cook Systems.

Why Work with Us

At Cook Systems, we don't just offer jobs-we build futures. Our team is the heart of everything we do, and we're committed to supporting you with benefits that go beyond the basics. We want you to feel secure, valued, and empowered from the very beginning of your journey with us. When you join Cook Systems, here's what you can look forward to:
• Your Health, Your Way: Choose from two comprehensive medical plans through Blue Cross Blue Shield, complete with dental and vision coverage. With access to one of the nation's largest networks, you'll get the care you need for yourself and your family-wherever life takes you.
• Peace of Mind, Every Step of the Way: Protect what matters most with life, critical illness, and accident insurance through Unum. Because your loved ones deserve security no matter what the future holds.
• Flexibility for Life's Needs: Save money and plan ahead with a Flexible Spending Account and Daycare FSA through Navia, helping you manage healthcare and dependent care expenses on your terms.
• Bridging the Gaps: Unexpected costs? No problem. Our Health Gap Insurance through Sunlife helps ensure you're covered when it counts.
• Your Future Starts Now: Dream big with our 401(k) retirement plan through The Standard. After just six months, you will be eligible to participate, because your future deserves a strong foundation.

At Cook Systems, you're not just another employee-you're family. Here, your ideas matter, your contributions shine, and your career will thrive. Together, we innovate, grow, and celebrate success every step of the way. Are you ready to be part of something bigger? Let's build the future together at Cook Systems.

#IND1 #LI-CS1","","","","","","","","","","","","","",""
